Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL3644496,CCCc1cccc2c1ncc1c(=O)n(CC)c(=O)n(C3CCCC3)c12,2600
CHEMBL4206211,O=S(=O)(NCC1CCCO1)c1cnc2ccc(-c3cncc(F)c3)nn12,4000
CHEMBL4211218,COc1ccc(-c2ccc3ncc(S(=O)(=O)NCC4CCCO4)n3n2)cn1,6000
CHEMBL4208563,CCN1CCN(S(=O)(=O)c2cnc3ccc(-c4ccc(OC)cc4)nn23)CC1,20000
CHEMBL4217242,CCN1CCN(S(=O)(=O)c2cnc3ccc(-c4cccnc4)nn23)CC1,15000
CHEMBL4203548,N#CC1(c2ccccc2)CCN(S(=O)(=O)c2cnc3ccc(Cl)nn23)CC1,25000
CHEMBL4207994,O=S(=O)(c1cnc2ccc(Cl)nn12)N1CCN(Cc2ccccc2)CC1,30000
CHEMBL4207908,O=S(=O)(c1cnc2ccc(Cl)nn12)N1CCN(c2ccccc2)CC1,30000
CHEMBL4212813,O=S(=O)(c1cnc2ccc(Cl)nn12)N1CCN(c2ccccn2)CC1,30000
CHEMBL4206575,NS(=O)(=O)c1cnc2ccc(Cl)nn12,28000
CHEMBL126867,CCOC(=O)CCCN1CNc2cc(N)ccc2C1=O,5000
CHEMBL3741926,O=C(c1ccc2ccccc2c1)N1CCN(Cc2cn(-c3cccc(C(F)(F)F)c3)c3ccccc23)CC1,40000
CHEMBL3640313,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(N)nn(C)c4c3)NC(=O)NC1=O)C2,1114.5
CHEMBL3640394,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(C4(C(N)=O)CCN(C)CC4)cc3)NC(=O)NC1=O)C2,152
CHEMBL3640418,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nnc(N)o4)cc3)NC(=O)NC1=O)C2,244
CHEMBL3642427,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4ccc(C#N)nc4)ccc3OC)NC(=O)NC1=O)C2,10000001
CHEMBL4128842,Cl.O=C1/C(=C/c2ccncc2)Cc2cccc(O)c21,2250
CHEMBL4127754,Cl.O=C1/C(=C/c2cccnc2)Cc2ccc(O)cc21,2710
CHEMBL4127950,Cl.O=C1/C(=C/c2cccnc2)Cc2c(O)cccc21,4800
CHEMBL4748417,CC(C)C(Nc1c(Cl)cnc2ccc(-c3cnc(C(C)(C)O)nc3)cc12)c1ccccc1F,826
CHEMBL113442,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2cccc(O)c2C1=O,15000
CHEMBL3953457,COc1cccc2c1ncc1c(=O)n(-c3cccc(S(C)(=O)=O)c3)c(=O)n(C3CCCC3)c12,280
CHEMBL3640364,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cccc(N5CCSCC5)n4)cc3)NC(=O)NC1=O)C2,4154
CHEMBL3640380,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4cncn4)cc3)NC(=O)NC1=O)C2,1140
CHEMBL3640385,COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)C3(CC4)NC(=O)NC3=O)NC(=O)NC1=O)C2,367
CHEMBL3640388,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(Nc4c(N)c(=O)c4=O)cc3)NC(=O)NC1=O)C2,306
CHEMBL3642451,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=O)NO)cc3OC)NC(=O)NC1=O)C2,146
CHEMBL3642507,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C/N=N/c4ccccc4)cc3)NC(=O)NC1=O)C2,1224
CHEMBL3642530,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cnn(C)c4)nc3)NC(=O)NC1=O)C2,1026
CHEMBL3958848,COc1cccc2c1ncc1c(=O)n(-c3cccc(C)c3)c(=O)n(C3CCC(C)CC3)c12,1
CHEMBL4649816,O=C1C[C@H](Nc2ncnc3[nH]cnc23)CN1Cc1ccccc1,109
CHEMBL3741761,Cc1cc2occ(CN3CCN(Cc4cn(-c5cccc(C(F)(F)F)c5)c5ccccc45)CC3)c(=O)c2cc1C,15000
CHEMBL3642444,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,849
CHEMBL3642448,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(CCNC(=O)C(F)(F)F)s3)NC(=O)NC1=O)C2,930
CHEMBL3642452,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4ccnc4)cc3OC)NC(=O)NC1=O)C2,786
CHEMBL3642449,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4=NCCN4)cc3)NC(=O)NC1=O)C2,227
CHEMBL171452,Cn1c(=O)[nH]c(=O)c2[nH]c(S)nc21,200000
CHEMBL126646,CCOC(=O)CCCn1c(Nc2ccccc2)nc2cc(OC)c(OC)cc2c1=O,25000
CHEMBL110110,COc1ccc(C(CCO)N2C(=O)c3ccccc3C2=O)cc1OC,7500
CHEMBL368515,Cn1c(=O)n(CCCC(=O)O)c(=O)c2ccccc21,200000
CHEMBL1541475,N#C/C(=C(/O)COC(=O)CSc1ccc(Cl)cc1)c1nc2ccccc2[nH]1,20000
CHEMBL1730320,O=C(C1CC1)N1CCc2cc(S(=O)(=O)N3CCN(c4ccc(Cl)cc4)CC3)ccc21,20000
CHEMBL1500624,Cc1ccc(C(=O)Nc2sc3c(c2C(=O)O)CCCC3)o1,20000
CHEMBL1736760,N#Cc1ccc(C(=O)Nc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,20000
CHEMBL1721154,COC(=O)c1c(NC(=O)c2cccc(F)c2)sc2c1CCC(C)C2,20000
CHEMBL1364793,CCC(=O)N1c2ccc(S(=O)(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)cc2CC1C,4880
CHEMBL1732865,CN(C)c1ccc(C(=O)Nc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,20000
CHEMBL1526705,O=C(CCc1ccccc1)Nc1sc2c(c1C(=O)O)CCCC2,20000
CHEMBL1528258,Cc1cccc(Nc2nc(N)nc(CCl)n2)c1,20000
CHEMBL4794492,CC(Nc1c(Cl)cnc2ccc(-c3cnc(C(C)(C)O)nc3)cc12)c1ccccc1C(F)(F)F,407
CHEMBL4745102,C[C@@H](Nc1ccnc2ccc(-c3cnc(C(C)(C)O)nc3)cc12)c1cc(N2CCCC2)ccc1F,25000
CHEMBL4758143,CC(Nc1c(Cl)cnc2c(Cl)cc(-c3cnc(C(C)(C)O)nc3)cc12)c1ccccc1F,25000
CHEMBL4748132,CC(Nc1c(Cl)cnc2cc(F)c(-c3cnc(C(C)(C)O)nc3)cc12)c1ccccc1F,64
CHEMBL4744981,CC(Nc1c(Cl)cnc2c(F)cc(-c3cnc(C(C)(C)O)nc3)cc12)c1ccccc1F,224
CHEMBL3913144,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCCC3)c12,9
CHEMBL3955760,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCN(S(=O)(=O)C(C)C)CC3)c12,0.4
CHEMBL3932863,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCN(S(=O)(=O)N(C)C)CC3)c12,0.4
CHEMBL3640356,CCN1CCN(c2cccc(-c3ccc(C#C[C@]4(CN5Cc6ccc(OC)c(F)c6C5=O)NC(=O)NC4=O)cc3)n2)CC1,605.65
CHEMBL1288000,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4ncccc4O)cc3)NC(=O)NC1=O)C2,117
CHEMBL4208862,CCN1CCN(S(=O)(=O)c2cnc3ccc(-c4ccc(OC)nc4)nn23)CC1,20000
CHEMBL4216705,Nc1ncc(-c2ccc3ncc(S(N)(=O)=O)n3n2)cc1C(F)(F)F,4000
CHEMBL125787,COc1cc2ccnc(Nc3cccc(Br)c3)c2cc1OC,37000
CHEMBL3640409,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(C(=O)N4CCN(C)CC4)ccc3OC)NC(=O)NC1=O)C2,2961
CHEMBL3642443,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(CN5Cc6cc(O)ccc6C5=O)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,419
